"title","heading","content"
"Iniciativas para Mitigar os Impactos da COVID-19","e","O início de 2020 foi marcado pela pandemia da COVID-19, que afetou todo mundo e também a Taesa. Desde então, a Companhia vem adotando medidas para a proteção, segurança e saúde de seus colaboradores, suas famílias e as comunidades locais, a fim de proteger seu maior ativo – as pessoas – e reduzir a velocidade de disseminação do novo coronavírus no país. Assim, destacamos as principais medidas implementadas até o momento: Proteção da saúde dos colaboradores Adoção de medidas para resguardar nosso maior ativo, as pessoas, e garantir a continuidade das nossas operações; Comunicação frequente e atualizada para todos os colaboradores sobre orientações de saúde e higiene; Retorno às atividades em modelo híbrido, intercalando presencial com home office e mantendo todos os protocolos de segurança e saúde necessários; Monitoramento dos empregados com apoio no tratamento de casos suspeitos ou positivos identificados da COVID-19; Disponibilização de diversos canais de atendimento para cuidar da saúde física e mental dos colaboradores e de seus familiares; Vacinação anual contra a gripe influenza para todos; Reforço na comunicação sobre a importância do atendimento às medidas de proteção e cuidado (Campanha “Eu cuido de você e você cuida de mim”); Incentivo à imunização completa: 99,6% dos colaboradores com o esquema primário completo, 97,6% com primeira dose de reforço e 49,9% com a segunda dose de reforço entre os colaboradores a partir de 40 anos. Reforço de informações sobre os cuidados preventivos que devem continuar no pós vacina. Continuidade das operações e dos empreendimentos em construção Criação do Comitê de Superação e do Comitê de Gestão de Fornecedores; Manutenção das atividades de operação e manutenção de forma a garantir a segurança das pessoas e do sistema elétrico; Manutenção dos altos índices de disponibilidade (99,95% no 9M22); Todas as obras dos empreendimentos em construção estão em andamento; algumas já concluídas; Manutenção dos investimentos nos empreendimentos em construção – R$ 2,9 bilhões investidos entre 2020 e 3T22. Preservação da saúde financeira da Companhia Manutenção de posição de liquidez confortável; Adequado perfil de dívida com custos baixos e prazos alongados; A mais alta nota de risco de crédito junto às agências Moody’s e Fitch (AAA na Escala Nacional); Consistente geração operacional de caixa, com manutenção dos baixos níveis de inadimplência históricos da Companhia; Disciplina financeira associada a remuneração adequada aos acionistas; Monitoramento contínuo da inadimplência e dos efeitos da pandemia no setor elétrico."
"Taesa","e","A Transmissora Aliança de Energia Elétrica S.A. (“Taesa” ou “Companhia”; B3: TAEE3, TAEE4, TAEE11), um dos maiores grupos concessionários de transmissão de energia elétrica do país, anuncia hoje seus resultados do terceiro trimestre de 2022. As demonstrações financeiras consolidadas da Companhia são elaboradas e preparadas de acordo com as práticas contábeis do Manual de Contabilidade do Setor Elétrico da Agência Nacional de Energia Elétrica (ANEEL) e com as Normas Internacionais de Relatório Financeiro (IFRS) emitidas pelo International Accounting Standards Board (IASB), definidas neste documento como Resultado Regulatório e Resultado IFRS, respectivamente. A apresentação dessas informações está condizente com as normas expedidas pela Comissão de Valores Mobiliários, aplicáveis à elaboração das Demonstrações Financeiras. No Resultado Regulatório a seguir apresentado, preparado com base na estrutura vigente no Manual de Contabilidade do Setor Elétrico, emitido pela ANEEL, todos os investimentos realizados nas construções das linhas de transmissão e subestações são registrados como ativo imobilizado e os efeitos decorrentes da aplicação do CPC 47 (IFRS 15) são eliminados, incluindo os impactos fiscais (IR e CSLL diferidos e PIS e COFINS diferidos) reconhecidos sobre as diferenças temporárias oriundas da aplicação dessa interpretação. É importante mencionar que o Resultado Regulatório é auditado anualmente na entrega das demonstrações contábeis regulatórias à ANEEL. Portanto, o prazo para conclusão da auditoria das Demonstrações Contábeis Regulatórias (DCRs) se encerram em 30 de abril de cada exercício, ou seja, assuntos relacionados especificamente à contabilidade regulatória divulgados anteriormente a conclusão das DCRs são passíveis de alterações. Para facilitar o entendimento das informações apresentadas neste documento, os termos associados às palavras Regulatório(a) e IFRS seguem os mesmos princípios e estrutura definidos acima para o Resultado Regulatório e Resultado IFRS, respectivamente. Em linha com as normas contábeis, a Taesa não consolida proporcionalmente as empresas controladas em conjunto e coligadas. Dessa forma, os resultados da ETAU, Aimorés, Paraguaçu, Ivaí e do grupo TBE são contabilizados na linha de equivalência patrimonial tanto no Resultado IFRS quanto no Regulatório. A gestão operacional das concessões Transirapé, Transudeste e Transleste (em conjunto, “Transmineiras”) passou a ser realizada pelo grupo TBE. A partir do segundo trimestre de 2022 os resultados das Transmineiras foram incorporados ao resultado da TBE. Para fins de comparação, os respectivos trimestres do ano anterior também sofrerão este ajuste proforma. A declaração de dividendos da Taesa é feita com base no Resultado IFRS revisado pelo auditor."
"O terceiro trimestre de 2022","e","foi marcado pela entrada no novo ciclo da Receita Anual Permitida (RAP) 2022-2023 que se iniciou em 1º de julho. As concessões ajustadas pelo IGP-M (Categoria II) sofreram um reajuste inflacionário de 10,72% e as concessões ajustadas pelo IPCA (Categoria III) sofreram um reajuste inflacionário de 11,73%. Assim, a RAP das 41 concessionárias do grupo Taesa no novo ciclo 2022-2023 totalizou R$ 3,8 bilhões, 7,7% maior que a RAP total do ciclo anterior, já contemplando a redução de 50% da RAP das concessões de categoria II que sofrem esse efeito no novo ciclo."
"A Companhia registrou","e","portanto, uma receita operacional líquida regulatória de R$ 583,9 MM no 3T22 e de R$ 1.670,1 MM no 9M22, apresentando um crescimento de 17,4% e 29,8% na comparação com os respectivos períodos de 2021. Já o EBITDA regulatório da Companhia totalizou R$ 498,1 MM no 3T22 e R$ 1.417,4 MM no 9M22, apresentando um crescimento de 18,3% e de 32,6% contra o 3T21 e 9M21, respectivamente. Assim, a margem EBITDA ficou em 85,3% no trimestre e 84,9% no acumulado. O lucro líquido regulatório também apresentou um crescimento anual de 94,6% no 3T22 e de 60,7% no 9M22, totalizando R$ 373,7 MM e R$ 661,6 MM, respectivamente, resultado da entrada em operação dos projetos de Janaúba, Sant’Ana (parcial), ESTE, Aimorés e Paraguaçu, do reajuste inflacionário do novo ciclo da RAP e da melhora do resultado financeiro. "
"IFRS","e","No resultado em IFRS, a Companhia registrou um lucro líquido de R$ 302,5 MM no trimestre e de R$ 1.426,4 MM no acumulado do ano, uma redução de 43,7% e 20,3% na comparação com os respectivos períodos de 2021, explicada principalmente pelo menor IGP-M e IPCA registrado entre os períodos comparados, que afetaram negativamente a receita de correção monetária, e a redução da margem de implementação de infraestrutura, principalmente em função da entrada em operação de Janaúba, ESTE e Aimorés e dos menores investimentos nos empreendimentos em construção Ivaí e Sant’Ana."
"Primeiros nove meses","e","A Taesa encerrou os primeiros nove meses do ano com um caixa robusto de R$ 1,8 bilhão e uma dívida líquida de R$ 8,9 bilhões – considerando a participação da Companhia nas empresas controladas em conjunto e coligadas –, com um índice de 3,7x na relação dívida líquida sobre EBITDA, uma importante melhora quando comparado ao nível de 4,3x reportado doze meses antes. Do ponto de vista operacional, a Companhia manteve um alto índice de disponibilidade das linhas, em 99,95%, e uma parcela variável contábil de R$ 30,3 MM no acumulado do ano, destacando sua consistência na excelência operacional e gestão de suas linhas de transmissão. Seguimos dedicados e priorizando os nossos empreendimentos em construção. Concluímos os empreendimentos de ESTE em fevereiro, Aimorés em maio e Paraguaçu em julho e adiantamos uma parte de Sant’Ana em abril, que juntos adicionam uma RAP de cerca de R$ 224,5 MM para a Companhia (ciclo 2022-2023). Os projetos de Ivaí e Sant’Ana se encontram em estágio avançado de execução, Ananaí teve seus investimentos iniciais e o contrato de concessão de Pitiguari, referente ao lote 2 arrematado no leilão de junho deste ano, foi assinado em 30 de setembro de 2022. Por fim, com base nas demonstrações financeiras intermediarias de 30 de setembro de 2022, o Conselho de Administração aprovou hoje a distribuição de (i) R$ 45,2 MM (R$ 0,13 / Unit) a título de dividendos intercalares, (ii) R$ 113,4 MM (R$ 0,33 / Unit) a título de dividendos intermediários referente a Reserva Especial de dividendos não distribuídos, e (ii) R$ 206,8 MM (R$ 0,60 / Unit) a título de juros sobre capital. próprio (JCP), totalizando R$ 365,4 MM (R$ 1,06 / Unit). O pagamento ocorrerá no dia 5 de dezembro de 2022, a partir da data base de 14 de novembro de 2022. "
"missão","e","Conectamos o Brasil com energia segura e confiável."
"visão","e","Ser a transmissora de energia elétrica de maior Valor para a sociedade."
"valores","e","Cuidamos genuinamente das pessoas. Agimos com integridade construindo relações de confiança. Buscamos a excelência em tudo o que fazemos. A TAESA somos nós!"
"resultado regulatório","e","A receita líquida totalizou R$ 583,9 MM no 3T22, registrando um crescimento de 17,4% em relação ao mesmo período de 2021, explicado pelo reajuste inflacionário do ciclo da RAP 2022-2023 e entrada em operação de Janaúba e parcial de Sant’Ana. O EBITDA totalizou R$ 498,1 MM, apresentando um aumento anual de 18,3%. A margem EBITDA ficou em 85,3% no trimestre (+0,7pp contra 3T21). Crescimento de 147,5% na equivalência patrimonial, explicado pelas menores despesas financeiras em Ivaí, em função da deflação do IPCA, pelo reajuste inflacionário do ciclo da RAP 2022-2023 e pela entrada em operação de ESTE, Aimorés e Paraguaçu. Redução de 62,7% nas despesas financeiras líquidas, resultado basicamente da contração do índice IPCA, que registrou deflação no 3T22. Lucro líquido ficou em R$ 373,7 MM no 3T22, 94,6% maior que o mesmo período do ano anterior. Em 30 de setembro de 2022, a dívida bruta da Companhia encerrou em R$ 8.499,8 MM, uma redução de 0,2% contra o 2T22. O caixa da Companhia ficou em R$ 1.574,5 MM (redução de 15,1% versus 2T22), resultando em uma dívida líquida de R$ 6.925,3 MM (aumento de 4,0% no trimestre). A relação da dívida líquida / EBITDA da Taesa, consolidando proporcionalmente as empresas controladas em conjunto e coligadas, ficou em 3,7x (em linha com 3,8x no 2T22). Índice de disponibilidade foi de 99,95% e uma Parcela Variável (PV) contábil de R$ 30,3 MM, equivalente a 1,62% da RAP, no 9M22."
